dataset,operation,n_rows,n_cols,test_size,random_state,default_train_accuracy,default_test_accuracy,tpot_train_accuracy,topt_test_accuracy,default_time,tpot_time
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,classification,1600,1000,0.2,3272263315,1.0,0.484375,0.99921875,0.4875,1.0879042148590088,110.3374388217926
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,classification,1600,20,0.2,2048439121,1.0,0.53125,0.8359375,0.5875,0.39169859886169434,46.49931716918945
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,classification,1600,20,0.2,1246369294,0.9984375,0.678125,0.99609375,0.728125,0.3852972984313965,46.98193645477295
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,classification,1600,20,0.2,452407199,0.99921875,0.609375,0.94140625,0.59375,0.3921632766723633,52.215980529785156
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,classification,1600,20,0.2,406288698,1.0,0.5625,0.80234375,0.6375,0.3874537944793701,46.4181604385376
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM_2_001,classification,1600,20,0.2,3110934850,1.0,0.7,0.8796875,0.715625,0.3944106101989746,48.86079931259155
Hill_Valley_with_noise,classification,1212,100,0.2,686248223,1.0,0.5349794238683128,0.9711042311661506,0.5637860082304527,2.325486421585083,273.72988176345825
Hill_Valley_without_noise,classification,1212,100,0.2,1823815167,1.0,0.5720164609053497,0.9927760577915377,0.6090534979423868,2.2522270679473877,170.7367787361145
adult,classification,48842,14,0.2,3886641658,0.9999232206382924,0.8607841130105436,0.8805569063035856,0.8655952502815027,7.474811792373657,118.35027480125427
agaricus_lepiota,classification,8145,22,0.2,489738357,1.0,1.0,1.0,1.0,0.4593536853790283,62.645363569259644
allbp,classification,3772,29,0.2,3558628121,1.0,0.9748344370860927,0.9937023533311237,0.9774834437086093,0.470477819442749,64.61282968521118
allhyper,classification,3771,29,0.2,1099552691,1.0,0.9920529801324504,0.9970159151193634,0.9947019867549669,0.41658759117126465,65.70816993713379
allhypo,classification,3770,29,0.2,2815288859,1.0,0.9708222811671088,0.9973474801061007,0.9814323607427056,0.5215075016021729,64.16323947906494
allrep,classification,3772,29,0.2,840348597,1.0,0.9880794701986755,0.9897248922770965,0.9894039735099338,0.40574002265930176,57.75047492980957
analcatdata_aids,classification,50,4,0.2,3527833658,1.0,0.5,0.825,0.6,0.20110607147216797,28.91994071006775
